,hour,year,month,day,HOD,DOW,DOY,WOY,QOD,HOW,Number of Patients,Maximum temperature (°C),Minimum temperature (°C)
0,2004-01-01 00:00:00,2004,1,1,0,Thursday,1,1,0.0,73,5,11.4,11.3
1,2004-01-01 01:00:00,2004,1,1,1,Thursday,1,1,0.0,74,11,11.4,11.4
2,2004-01-01 02:00:00,2004,1,1,2,Thursday,1,1,0.0,75,8,10.9,10.8
3,2004-01-01 03:00:00,2004,1,1,3,Thursday,1,1,0.0,76,4,10.7,10.6
4,2004-01-01 04:00:00,2004,1,1,4,Thursday,1,1,0.0,77,5,10.6,10.5
5,2004-01-01 05:00:00,2004,1,1,5,Thursday,1,1,0.0,78,3,9.8,9.5
6,2004-01-01 06:00:00,2004,1,1,6,Thursday,1,1,1.0,79,6,10.4,10
7,2004-01-01 07:00:00,2004,1,1,7,Thursday,1,1,1.0,80,9,12.9,12.7
8,2004-01-01 08:00:00,2004,1,1,8,Thursday,1,1,1.0,81,35,13.2,12.9
9,2004-01-01 09:00:00,2004,1,1,9,Thursday,1,1,1.0,82,36,12.1,12
10,2004-01-01 10:00:00,2004,1,1,10,Thursday,1,1,1.0,83,30,10.9,10.6
11,2004-01-01 11:00:00,2004,1,1,11,Thursday,1,1,1.0,84,33,12.8,12.5
12,2004-01-01 12:00:00,2004,1,1,12,Thursday,1,1,2.0,85,24,14.2,14.1
13,2004-01-01 13:00:00,2004,1,1,13,Thursday,1,1,2.0,86,20,14.3,14.1
14,2004-01-01 14:00:00,2004,1,1,14,Thursday,1,1,2.0,87,26,14.5,14.3
15,2004-01-01 15:00:00,2004,1,1,15,Thursday,1,1,2.0,88,24,13,12.9
16,2004-01-01 16:00:00,2004,1,1,16,Thursday,1,1,2.0,89,15,12.8,12.5
17,2004-01-01 17:00:00,2004,1,1,17,Thursday,1,1,2.0,90,16,12.3,12.3
18,2004-01-01 18:00:00,2004,1,1,18,Thursday,1,1,3.0,91,18,12.1,11.9
19,2004-01-01 19:00:00,2004,1,1,19,Thursday,1,1,3.0,92,21,11.9,11.9
20,2004-01-01 20:00:00,2004,1,1,20,Thursday,1,1,3.0,93,23,12.1,12
21,2004-01-01 21:00:00,2004,1,1,21,Thursday,1,1,3.0,94,13,11.9,11.6
22,2004-01-01 22:00:00,2004,1,1,22,Thursday,1,1,3.0,95,15,11.3,11.1
23,2004-01-01 23:00:00,2004,1,1,23,Thursday,1,1,3.0,96,6,11,10.9
24,2004-01-02 00:00:00,2004,1,2,0,Friday,2,1,0.0,97,12,11.7,11.4
25,2004-01-02 01:00:00,2004,1,2,1,Friday,2,1,0.0,98,6,11.7,11.6
26,2004-01-02 02:00:00,2004,1,2,2,Friday,2,1,0.0,99,3,11.9,11.8
27,2004-01-02 03:00:00,2004,1,2,3,Friday,2,1,0.0,100,3,11.3,11.1
